+----------+------------+----------------+
| # Epoch  | Train_loss | Train_Accuracy |
+----------+------------+----------------+
| epoch 1  |   0.5979   |     0.6839     |
| epoch 2  |   0.4955   |     0.7693     |
| epoch 3  |   0.4446   |     0.7968     |
| epoch 4  |   0.4166   |     0.8172     |
| epoch 5  |   0.3832   |     0.8421     |
| epoch 6  |   0.3684   |     0.8458     |
| epoch 7  |   0.3570   |     0.8488     |
| epoch 8  |   0.3450   |     0.8592     |
| epoch 9  |   0.3335   |     0.8596     |
| epoch 10 |   0.3011   |     0.8770     |
| epoch 11 |   0.2874   |     0.8822     |
| epoch 12 |   0.2930   |     0.8860     |
| epoch 13 |   0.2709   |     0.8919     |
| epoch 14 |   0.2641   |     0.9004     |
| epoch 15 |   0.2611   |     0.8949     |
| epoch 16 |   0.2193   |     0.9120     |
| epoch 17 |   0.2063   |     0.9190     |
| epoch 18 |   0.2036   |     0.9290     |
| epoch 19 |   0.2227   |     0.9157     |
| epoch 20 |   0.1990   |     0.9235     |
| epoch 21 |   0.1917   |     0.9365     |
| epoch 22 |   0.2129   |     0.9231     |
| epoch 23 |   0.1856   |     0.9268     |
| epoch 24 |   0.1564   |     0.9499     |
| epoch 25 |   0.1722   |     0.9465     |
| epoch 26 |   0.1477   |     0.9513     |
| epoch 27 |   0.1595   |     0.9525     |
| epoch 28 |   0.1409   |     0.9495     |
| epoch 29 |   0.1431   |     0.9606     |
| epoch 30 |   0.1262   |     0.9588     |
| epoch 31 |   0.1148   |     0.9629     |
| epoch 32 |   0.1307   |     0.9629     |
| epoch 33 |   0.2303   |     0.9209     |
| epoch 34 |   0.1635   |     0.9361     |
| epoch 35 |   0.1294   |     0.9573     |
| epoch 36 |   0.1314   |     0.9525     |
| epoch 37 |   0.1176   |     0.9625     |
| epoch 38 |   0.1296   |     0.9640     |
| epoch 39 |   0.1281   |     0.9666     |
| epoch 40 |   0.1382   |     0.9461     |
| epoch 41 |   0.1047   |     0.9640     |
| epoch 42 |   0.0927   |     0.9718     |
+----------+------------+----------------+
